ticker	name	region	layer	chokepoint_score	chokepoint_tier	score	verdict	price	ccy	ytd_pct	fwd_pe	target	upside_pct	capex_side	risk_level	catalyst	one_liner
NEU US	NewMarket (AMPAC)	US	Energetic Chemicals	25	Monopoly Chokepoint	76	BUY	850.16	USD	23.7				receives	Medium	$100m AMPAC expansion approved, >50% capacity increase at Cedar City, UT.	The narrowest point in the entire Western missile chain. But AMPAC is ~170 employees inside a petroleum-additives company — the exposure is real and heavily diluted.
5727 JP	Toho Titanium	JP	Structural Metals & Forgings	23	Monopoly Chokepoint	71	WATCH		JPY					receives	Medium	Capacity expansion in response to loss of Russian supply.	Same 23/25 chokepoint as Osaka Titanium and it has NOT run as hard — but the terminal returned no price for it in this build, so it is unpriced and unrated here. Verify before acting.
5726 JP	Osaka Titanium	JP	Structural Metals & Forgings	23	Monopoly Chokepoint	70	HOLD	2837	JPY	50.8		3350	18.1	receives	Medium	JPY30bn expansion lifting capacity from 40kt to 50kt/yr; running near full.	Chokepoint score 23/25 — one of the strongest in the book. Right thesis, wrong entry at +51% YTD.
LHX US	L3Harris (Aerojet Rocketdyne)	US	Solid Rocket Motors	22	Monopoly Chokepoint	75	BUY	277.06	USD	-5.6	22.0	361.71	30.6	spends	Medium	Missile-business separation/IPO (delayed). >$1bn Orange County VA expansion; $25m Huntsville AMF-South, +130k sqft.	Beat and raised on 29 Jul and fell ~7% because missile capex ran +92% YTD. The capex crushing the stock is precisely what creates the 2028+ earnings.
NOC US	Northrop Grumman	US	Solid Rocket Motors	22	Monopoly Chokepoint	75	BUY	542.48	USD	-4.9	18.6	650.52	19.9	spends	Medium	$178m NAVSEA modular energetics facility at Allegany, doubling SRM capacity by autumn 2026. Sentinel restructuring added $7.6bn to backlog in Q2.	Record $105bn backlog at 18.6x — but B-21 carries ~$2.0bn cumulative LRIP losses with $1.0bn accrual remaining. Cheaper than LHX, with fixed-price hair attached.
MP US	MP Materials	US	Magnets & Critical Minerals	22	Monopoly Chokepoint	63	HOLD	41.37	USD	-18.1	197.9	77.72	87.9	both	High	DoD bans China-origin magnet material in US military platforms from 2027 — a hard regulatory forcing function.	Chokepoint 22/25 and DOWN 18% into a legislated demand mandate. But 198x forward means you are underwriting 2028-2030 magnet volumes and nothing else.
PKE US	Park Aerospace	US	Cases, Ablatives & Nozzles	21	Monopoly Chokepoint	66	HOLD	33.9	USD	58.9	50.6	42.5	25.4	receives	Medium	Missile programme ramp pull-through.	Textbook cheap-but-critical chokepoint (cogs 5/5). Already +59% YTD at 50.6x — the market found this one.
7013 JP	IHI	JP	Solid Rocket Motors	20	Duopoly Chokepoint	75	BUY	2771	JPY	0.6	16.9	3766.54	35.9	spends	Medium	Japanese standoff-missile build-out; allied co-production.	The Japanese analogue of the cheap-duopoly idea: 16.9x, flat on the year, +36% to consensus. NOTE: IHI Aerospace's SRM position is well established in industry but was not source-verified in this build — check segment disclosure before sizing.
CHG LN	Chemring	EU	Energetic Chemicals	20	Duopoly Chokepoint	73	HOLD	601.5	GBp	27.3	23.1	633.29	5.3	receives	Medium	EUR66.7m of EU funding to double Chemring Nobel explosives capacity.	The cleanest listed European energetics asset and unanimous Buy (5.00) — but +27% YTD leaves only ~5% to consensus target. Right thesis, late entry.
6762 JP	TDK	JP	Magnets & Critical Minerals	19	Duopoly Chokepoint	71	HOLD	3092	JPY	39.8	23.3	4281.67	38.5	receives	Medium	Ex-China magnet qualification ahead of the 2027 mandate.	+38% consensus gap after a +40% run. Same dilution caveat as Shin-Etsu — the magnet slice is small.
